names,population,state_code,lat,lon
aba,,03,-0.5813889,15.9902778
aba,,08,-1.2436111,15.2622222
aba i,,08,-1.2436111,15.2622222
abala,,03,-0.4208333,15.2002778
abala,,08,-1.3397222,15.5208333
abala,,11,-3.36,15.4758333
abalaga,,03,-1.0380556,14.6919444
abalaka,,03,-1.0380556,14.6919444
abala-ndolo,,08,-2.4086111,14.7125
abam,,10,2.1430556,13.5405556
abana,,03,-0.6333333,15.0666667
abankima,,11,-4.1933333,14.4838889
abatsambi,,08,-1.31,15.9075
abba,,08,-2.4047222,15.1111111
abea,,03,-1.2147222,16.1997222
abeke,,03,-0.9666667,14.55
abela,,03,0.0444444,15.1175
abela,,08,-1.0883333,15.4905556
abenga,,03,-0.2947222,15.7616667
abeya,,03,-0.6397222,15.9116667
abi,,08,-2.3525,15.3763889
abila,,08,-2.0044444,15.1427778
abili,,08,-2.2841667,14.545
abinga,,03,-0.2947222,15.7616667
abo,,03,-1.1855556,16.0475
abo,,08,-1.3597222,15.9827778
abogo,,08,-1.2333333,16.0333333
aboko,,03,-0.9636111,16.2819444
aboko i,,03,-1.1855556,16.0475
aboko ii,,03,-1.195,16.0608333
abolo,,03,0.1361111,14.2266667
abolo i,,03,0.1361111,14.2266667
abolo ii,,03,0.1461111,14.2266667
abomo,,10,2.2,16.1891667
aboua,,03,0.1063889,15.5863889
abouma,,03,-0.3011111,15.7969444
aboundji,,03,-0.02,14.3388889
abvounougou,,05,-2.5813889,13.5919444
abvoura,,03,-0.3983333,14.8944444
adiala,,10,1.7644444,14.3636111
adiba,,03,-0.1205556,15.8325
adinagayenes,,10,2.1166667,14.05
adinga,,03,-0.0422222,14.7988889
adinnga,,03,0.0608333,15.4388889
adjipo,,11,-3.1827778,16.1738889
adzi,,08,-2.6691667,15.305
adzie,,03,-1.2208333,14.9752778
adzie i,,03,-1.2208333,14.9752778
adzie ii,,03,-1.2327778,14.9747222
aeko,,03,0.0858333,15.4644444
afou,,08,-1.6536111,15.5683333
afoudou,,03,-0.0341667,15.5983333
afou-moke,,08,-1.6625,15.6113889
ahouma,,03,0.1,16.0833333
aila,,08,-1.4602778,15.9391667
akabandele,,03,-1.5977778,14.7286111
akabi,,08,-1.5488889,15.375
akala,,08,-1.3352778,15.4075
akalamba,,03,-0.9116667,14.8988889
akamo,,03,0.0258333,14.3202778
akamou,,03,-0.0177778,14.3316667
akana,,03,-0.125,14.9116667
akana,,08,-1.4575,15.86
akana i,,03,-0.125,14.9116667
akana ii,,03,-0.1630556,14.9186111
akananga,,03,-0.1175,14.5358333
akao,,08,-1.3447222,15.8816667
akara,,03,-1.6947222,14.7230556
akaya,,03,-1.2166667,14.6666667
akaymbala,,03,-1.5913889,14.8013889
akele,,03,-1.6222222,14.6363889
akele,,08,-1.3833333,16.055
akeokoue,,08,-2.2233333,15.0238889
akiele,,08,-1.5088889,15.8372222
akombo,,03,-0.1061111,14.5608333
akombo,,10,1.25,16.6333333
akomou,,03,-0.2391667,14.6558333
akongo,,03,0.4088889,14.6527778
akongo,,08,-1.265,15.8497222
akoua,,03,-0.5847222,14.8927778
akou,,03,-1.0058333,14.8611111
akou,,08,-1.5630556,15.0627778
akoualebango,,03,0.365,14.3180556
akoui,,08,-2.5036111,15.1680556
akounda,,03,0.0030556,15.5205556
akouo,,08,-1.9880556,15.7472222
akousika,,08,-1.1016667,15.8138889
akoussika,,08,-1.1016667,15.8138889
ala,,08,-1.3452778,15.6572222
alad,,10,2.0908333,13.9972222
alangon,,10,1.565,15.4222222
alangong,,10,1.565,15.4222222
alat,,10,1.8922222,13.3638889
alebo,,03,-0.7055556,15.6730556
alege pira,,08,-2.3522222,14.4366667
aleki,,08,-1.7130556,14.9919444
alemba,,03,-0.9625,15.5838889
alembe,,08,-1.1338889,15.3372222
aleme,,03,-0.7980556,14.8608333
alieme,,03,-1.0691667,14.5627778
alieni,,03,-0.0308333,14.675
alieni i,,03,-0.0238889,14.7041667
alieni ii,,03,-0.0308333,14.675
alimba,,03,-0.9625,15.5838889
alion,,08,-2.3661111,15.2725
allebo,,03,-0.7055556,15.6730556
allembe,,03,-0.445,15.5380556
alleme,,03,-0.7980556,14.8608333
allieni,,03,-0.0308333,14.675
allion,,08,-2.3661111,15.2725
ambabou,,08,-2.2119444,15.03
ambali,,08,-1.8247222,16.1033333
ambangui,,03,-0.1241667,15.8063889
ambela,,03,-0.6036111,14.8572222
ambende,,03,0.4125,14.63
ambimi,,03,-1.1180556,14.9222222
amboangue,,03,-0.4663889,15.8455556
ambombongo,,08,-1.3697222,15.9563889
ambomi,,03,-0.3194444,14.6591667
ambomo,,03,-1.5966667,14.8138889
ambomo,,05,-3.8561111,13.2725
ambosso,,03,-0.4166667,15.7833333
amboto,,05,-3.3594444,13.2591667
amboue,,08,-1.7975,15.9786111
amboumi,,03,-0.3194444,14.6591667
amiele,,08,-2.0608333,15.6311111
amina,,03,-1.5905556,14.7325
amo,,03,0.0438889,14.2752778
amosabo,,11,-3.2294444,15.8322222
ampaka,,08,-1.6175,14.9627778
ampo,,08,-1.6219444,14.9652778
ampo,,11,-3.2333333,15.95
anbabou,,08,-2.2119444,15.03
anbala,,08,-1.8247222,16.1033333
anbela,,03,-0.6036111,14.8572222
anbiele,,08,-2.3513889,14.465
anbombongo,,08,-1.3697222,15.9563889
ancien bera njoko,,06,3.3166667,16.9666667
ancien bibaya,,03,-1.1869444,14.7097222
ancien chimpeze,,04,-4.5166667,12.6
ancien diambola,,06,3.2833333,17.75
ancien diangala,,07,-4.2833333,12.6333333
ancien dola,,04,-4.0,12.05
ancien kivoko,,04,-4.25,12.1
ancien mabanzi,,07,-4.2833333,12.6166667
ancien madingo,,04,-4.1097222,11.3497222
ancien meme,,04,-4.365,12.5847222
ancien ncesse,,04,-4.4922222,12.5258333
ancien ngonbe,,03,0.3655556,16.9883333
ancien nioungui,,04,-4.4,12.6
ancien ntokossiala,,04,-4.4666667,12.4666667
ancien otala,,03,-0.1525,14.7419444
ancien poste madingo,,04,-4.1097222,11.3497222
ancien sandjala,,06,3.6833333,17.5666667
ancien tchicongoula,,04,-4.2266667,12.2491667
ancien vouvou,,07,-4.3,12.65
andebe,,03,-1.0644444,15.9622222
andeko,,03,-0.0333333,15.0166667
andjala,,03,-0.0388889,15.5983333
andjoko,,03,-0.0333333,14.4588889
andjoko ii,,03,-0.5472222,14.9222222
ando,,03,-0.8680556,16.1605556
andouma,,03,-0.9552778,14.8472222
andoumou,,08,-1.8502778,16.0025
andounou,,08,-1.8502778,16.0025
andzieme,,08,-1.9063889,15.0127778
andzion,,08,-2.0044444,15.8688889
andzogo,,05,-2.8997222,13.8808333
andzoko,,03,-0.0333333,14.4588889
andzounou,,08,-2.3058333,14.6175
angale,,03,0.2777778,15.4897222
angali,,03,0.2777778,15.4897222
angama,,07,-2.4,12.5
angama,,08,-2.3927778,14.4869444
angao,,08,-1.7055556,15.4905556
angieme,,08,-2.3319444,14.4872222
ango,,03,-0.4686111,15.8369444
ango,,08,-2.2027778,15.035
angoini,,08,-2.1783333,15.0536111
angomo,,03,-0.0166667,15.0333333
angomon,,03,0.0441667,15.0044444
angomon ii,,03,0.0461111,15.0572222
angouala,,08,-1.7797222,16.0744444
angoue,,08,-1.7847222,15.9980556
angouele,,08,-1.8858333,16.1480556
angoueli,,08,-1.7797222,16.0744444
angouere,,08,-1.9866667,16.1630556
angoulou i,,08,-1.5311111,15.8663889
angoulou ii,,08,-1.5130556,15.8652778
anikou,,06,2.5913889,17.1772222
anka,,08,-2.4225,15.0838889
anka,,11,-3.4044444,15.4308333
ankalaba,,03,-0.9116667,14.8988889
ankana,,08,-1.5922222,15.0322222
ankan,,08,-2.1711111,15.0552778
ankandziana ii,,08,-1.6744444,15.6491667
anki,,08,-1.815,16.2058333
ankono,,08,-1.8019444,15.9741667
ankouadzia,,08,-2.3088889,14.6277778
ankouandzion,,05,-2.4166667,13.6
ankou,,08,-2.3494444,14.4905556
ankouokari,,08,-2.2902778,14.5180556
ansene,,08,-1.9416667,16.1858333
antande,,08,-2.7097222,16.1930556
antangi,,05,-2.7541667,13.6127778
antangui,,05,-2.7541667,13.6127778
antanimpo,,11,-3.1833333,16.0666667
antchoko,,03,-0.1313889,14.3955556
antsoukou,,03,-0.1313889,14.3955556
antsui,,08,-2.2813889,14.5291667
antzieme,,08,-2.4261111,14.4155556
anzian,,08,-1.8119444,16.1777778
apeme,,08,-1.5191667,16.1372222
apoko,,03,-0.1433333,15.7266667
apombo,,03,-1.0630556,16.115
apoto,,03,-0.3161111,15.7544444
asa,,08,-2.4894444,15.2686111
asale,,08,-1.3758333,16.1838889
asene,,08,-1.5908333,15.7386111
asenge,,08,-1.0202778,15.3997222
asiene,,03,-1.6544444,14.5380556
asigi,,03,-1.2533333,15.1355556
asina,,08,-1.4747222,15.6038889
asingo,,08,-1.2863889,15.7502778
asoko,,03,-0.4166667,15.7833333
asombo,,04,-4.6105556,11.8408333
asoumani,,08,-1.5847222,16.2644444
assaki,,03,0.2377778,15.4972222
assaki-moke,,03,0.2277778,15.5169444
assala,,03,-0.5419444,15.9622222
assala,,08,-2.2977778,14.4558333
assali,,03,-0.5419444,15.9622222
assegbout,,10,1.9341667,14.1986111
assene,,08,-1.7044444,15.9705556
assengue,,08,-1.0202778,15.3997222
assiene,,03,-1.6544444,14.5380556
assiene i,,03,-1.6544444,14.5380556
assina,,08,-1.4747222,15.6038889
assingui,,03,-1.2533333,15.1355556
assoko,,03,0.0469444,15.7741667
assouangui,,03,0.2086111,15.7122222
assoukou,,03,-0.0161111,15.6983333
assoumani,,08,-1.5847222,16.2644444
assoumoundele,,10,1.5513889,15.8258333
assoundele,,10,1.6197222,14.5358333
atali,,03,0.0666667,15.4166667
atali,,08,-2.2758333,14.5463889
atekou,,03,-0.1208333,15.8061111
atekou i,,03,-0.1325,15.8488889
atekou ii,,03,-0.1480556,15.82
atekou iii,,03,-0.1427778,15.8030556
atelier robin,,04,-4.1183333,11.6936111
ati-ati,,08,-1.2977778,15.6186111
attention,,10,1.3069444,15.7947222
aubeville,,01,-4.265,13.5452778
ayali,,03,-1.5711111,14.9105556
ayandza,,03,-0.8797222,14.9663889
ayari,,03,-1.6047222,14.8294444
ayina,,03,-1.6072222,14.8227778
azombo,,10,2.1677778,13.9341667
babali,,10,2.0847222,16.0922222
babela,,11,-3.6391667,14.485
babinga,,07,-3.2097222,12.6630556
babinga,,08,-2.1716667,15.4952778
bacbali,,10,2.0847222,16.0922222
bacongo,,11,-4.2958333,15.2236111
bacoula,,11,-3.9716667,15.8055556
bad,,10,1.4708333,14.1955556
bade,,10,1.4708333,14.1955556
badekok,,10,1.6072222,14.76
bademousi,,11,-3.4013889,14.595
badimo,,11,-4.4141667,14.9641667
badimosi,,11,-4.5913889,14.4272222
badimossi,,11,-4.5913889,14.4272222
badinga,,07,-3.1333333,12.7333333
badoungou,,05,-3.0438889,13.3333333
badzok,,10,1.8141667,14.2658333
bagamba,,05,-3.7222222,13.0547222
baggodo,,07,-3.2144444,12.1069444
baisiet,,10,1.6216667,14.6908333
baissiet,,10,1.6216667,14.6908333
bakala,,07,-3.4,12.1166667
bakava,,11,-3.975,15.7688889
bakelo,,03,-1.0522222,17.0097222
bakendje,,10,1.8469444,16.1172222
bakendze,,10,1.8469444,16.1172222
bakouango,,03,-0.7705556,17.1094444
bakouengo,,03,-0.7705556,17.1094444
bakouenngo,,03,-0.7705556,17.1094444
bakoula,,11,-3.9716667,15.8055556
balabiletsi,,07,-3.5794444,12.3916667
balabitetsi,,07,-3.5794444,12.3916667
balanganba,,08,-1.4627778,15.5636111
balemon,,08,-2.3627778,16.1197222
balhois,,06,0.45,17.9166667
balhous,,06,0.45,17.9166667
bali,,08,-1.3061111,15.4241667
balimo,,08,-2.4,16.0166667
balouma,,10,1.5927778,15.9969444
balouro,,11,-4.1330556,15.3505556
bama,,05,-3.2677778,13.1719444
bamaganzo,,01,-4.1005556,12.9808333
bamagode i,,10,1.8569444,14.2119444
bamagode ii,,10,1.825,14.2225
bamagod i,,10,1.8569444,14.2119444
bamagod ii,,10,1.825,14.2225
bamanganienze,,07,-4.0011111,12.6230556
bamanganzo,,01,-4.1005556,12.9808333
bamba,,04,-3.9330556,11.7461111
bamba,,08,-1.92,15.8447222
bamba,,11,-4.2222222,14.1997222
bambabamba,,11,-4.0875,14.6736111
bambala,,04,-4.6808333,12.1369444
bambala,,11,-3.3427778,14.1425
bam,,10,2.0833333,14.05
bambama,,05,-2.5405556,13.5461111
bambembe,,01,-4.1030556,13.98
bamboma,,11,-4.2744444,15.1366667
bambou,,08,-1.6330556,15.9258333
bambouyi,,01,-3.9052778,13.6416667
bamegod,,10,1.8569444,14.2119444
bampo,,11,-3.2166667,16.1833333
banbama,,05,-2.5405556,13.5461111
banbama ii,,05,-2.8027778,13.6633333
banbami,,01,-3.8977778,14.245
banbidi,,05,-2.4547222,13.5697222
banda,,04,-4.5719444,12.4263889
banda,,10,1.4338889,15.8725
banda-kaye,,07,-4.68,13.4333333
banda-kayes,,07,-4.68,13.4333333
bandakoumou,,07,-3.1730556,12.6755556
bandeko,,06,1.9022222,17.3530556
bandi,,11,-4.355,14.7719444
bandja,,08,-1.4844444,16.1838889
bandjia,,08,-1.4844444,16.1838889
bandjila,,04,-4.2,11.9833333
bandjoko,,05,-2.7866667,13.8211111
bandoye,,05,-2.4602778,13.5686111
bandza,,03,0.6647222,14.5519444
bandza,,06,2.0377778,17.3163889
bandza,,08,-1.0147222,15.6897222
bandzali,,05,-3.0483333,13.355
bandza moke,,03,-0.5833333,15.3986111
bandzibikie,,11,-3.3136111,14.1222222
bandzie,,05,-2.8666667,13.75
bandzieme,,05,-2.8458333,13.8305556
bandzieme,,08,-2.4433333,14.5044444
bandzoko,,05,-3.3333333,13.25
bandzoko,,07,-2.3541667,12.7633333
bandzounou,,08,-2.4386111,14.4916667
banga,,04,-4.5719444,12.4263889
bangadi,,07,-2.6758333,12.6413889
bangama,,05,-3.1661111,13.2627778
bangasou,,08,-1.5819444,15.9797222
bangassou,,08,-1.5819444,15.9797222
banga vounga,,04,-4.9030556,12.0522222
bangi,,06,2.3258333,17.9986111
bangi,,11,-3.9944444,15.6633333
bango,,01,-4.8022222,13.5972222
bango,,07,-2.7488889,12.65
bango,,11,-4.2005556,14.6222222
bangolo,,07,-2.7311111,12.4547222
bangondo,,07,-3.2144444,12.1069444
bangou,,11,-3.9413889,14.4094444
bangouene,,08,-1.1694444,15.6280556
bangui,,06,2.5016667,17.3122222
banguila,,04,-4.0072222,11.6727778
bangui-motaba,,06,2.5016667,17.3122222
bangui-sale,,03,0.3638889,14.7902778
bangwene,,08,-1.1694444,15.6280556
banianda,,11,-4.0822222,14.4152778
bankousou,,05,-2.6936111,13.5947222
bankoussou,,05,-2.6936111,13.5947222
banpakasa,,11,-3.9527778,14.4605556
bansilisi,,01,-3.8877778,14.2347222
bantse,,08,-1.8125,16.3991667
bantsielissi,,01,-3.8877778,14.2347222
bantsoussou,,05,-2.9166667,14.2833333
banyanba,,03,-0.7280556,15.6536111
banza baka,,11,-4.6194444,14.4336111
banza bembe,,11,-4.6861111,14.7702778
banza-dounga,,11,-4.5163889,15.0266667
banzagalangala,,11,-4.6433333,14.8877778
banzageri,,11,-4.5686111,14.9222222
banza-gounga,,11,-4.3286111,15.1566667
banzagueri,,11,-4.5686111,14.9222222
banzamboma,,11,-4.1438889,14.9505556
banzana-gouende,,03,0.0427778,15.6522222
banzangoun,,11,-4.0194444,14.5772222
banzangueri,,11,-4.3458333,14.9908333
banza-tombo,,11,-4.6241667,14.5583333
banziele,,01,-3.7958333,14.1008333
banziemo,,11,-4.3505556,14.7530556
baobab de brazza,,07,-4.1952778,12.5838889
baoongo,,11,-4.2958333,15.2236111
baoundele,,10,2.0166667,14.8666667
baponbo,,06,3.4452778,16.9502778
bara,,03,-1.0847222,15.9236111
bara i,,03,-1.0847222,15.9236111
bara ii,,03,-1.075,15.9094444
baratier,,11,-4.1541667,14.9019444
bas-kouilou,,04,-4.4686111,11.7094444
bas kwilou,,04,-4.4686111,11.7094444
basongila,,11,-3.5791667,14.3838889
basoupoulawawou,,07,-3.8055556,12.1152778
bassamba,,06,3.0808333,18.5161111
bassela,,06,1.3794444,17.6
bassoupoulawawou,,07,-3.8055556,12.1152778
bata-bouka-moukodi,,07,-2.4397222,11.8777778
bata louango,,07,-4.5738889,13.0869444
batekok,,10,1.6072222,14.76
batsiessi,,07,-2.7333333,12.0333333
batsingou,,07,-2.6069444,11.97
baya,,03,-0.4886111,16.0933333
baya,,04,-4.5133333,12.2991667
baya,,08,-1.6702778,15.8016667
baye-loango,,05,-4.0341667,13.4794444
bayengue,,03,-0.8316667,17.2033333
bayombe,,07,-4.1847222,12.6572222
bazam,,11,-3.3666667,15.5
beaba,,08,-1.5083333,15.0897222
beabea,,10,1.5780556,15.9763889
beantsion,,08,-1.9955556,15.1372222
bebezi,,11,-4.5105556,14.7422222
beempo,,08,-1.6925,15.6863889
behentsio,,08,-2.0666667,15.0666667
beinge,,05,-3.4741667,13.4175
bekanga,,08,-1.4383333,15.9347222
bekanga i,,08,-1.4383333,15.9347222
bekanga ii,,08,-1.4705556,15.9061111
bekombo,,06,-0.1969444,17.6419444
bekonmbo,,06,-0.1969444,17.6419444
bela,,03,0.0697222,14.2436111
bela,,11,-4.825,14.7527778
bela-bongo,,11,-4.825,14.7527778
bele,,08,-2.3269444,14.5705556
bellelo,,04,-4.3472222,11.5858333
bellevue,,10,1.58,14.4472222
belo,,01,-3.9058333,13.8997222
beloulo,,04,-4.3472222,11.5858333
bemba,,11,-3.2794444,14.3663889
bemba-loisa,,11,-3.3833333,14.4666667
bembe,,03,0.6272222,14.5019444
bembe,,10,0.3944444,16.505
bembike,,01,-3.9797222,12.7794444
bembo mbote,,07,-4.2461111,12.7391667
bempo,,08,-1.6925,15.6863889
bena i,,04,-4.0011111,11.8025
bena ii,,04,-4.0516667,11.8477778
bende,,03,0.2855556,14.8472222
bendza,,03,0.5452778,14.4094444
bendze-nagouende,,03,0.0427778,15.6522222
bene,,03,-1.4958333,16.4038889
bene,,06,1.6891667,17.1133333
bene,,08,-1.3872222,15.9391667
bengeko,,08,-1.5833333,15.99
benseke,,11,-4.6247222,14.6897222
bentze,,08,-1.8125,16.3991667
benza,,10,1.85,15.8
benze,,03,-0.0711111,15.8083333
berandjoko,,06,3.0702778,17.2788889
bera-ndjoko,,06,3.3166667,16.9666667
berandjokou,,06,3.0702778,17.2788889
bera njoko,,06,3.3166667,16.9666667
besio,,11,-3.8383333,15.3416667
bessala,,08,-2.4872222,15.7555556
bessie,,10,1.6216667,14.6908333
betikoumba,,06,3.4311111,18.5969444
betou,,06,3.055,18.5172222
betou d' ikoumba,,06,3.4311111,18.5969444
betou d' issassa,,06,3.3,18.5833333
betoukoumba,,06,3.4311111,18.5969444
beye-mboulou,,03,-0.5622222,14.6202778
bia,,03,-0.8458333,14.57
biabiel,,10,1.8811111,14.2105556
biala,,03,-1.1686111,16.0033333
bibaka,,07,-3.1575,13.0091667
bibanga,,05,-2.9311111,13.2486111
bibaya,,03,-1.0411111,14.8713889
bibay,,07,-3.1169444,12.8866667
bibondo,,01,-4.3055556,13.7888889
biboua,,11,-4.5447222,14.48
biboubou,,11,-4.7769444,14.6555556
bibroua,,11,-3.2936111,14.4252778
bidoua,,05,-3.4716667,13.4541667
bidoumo i,,10,2.1333333,14.0833333
bidoumou,,10,2.1333333,14.0833333
bidzaka bakota,,05,-2.6352778,13.6125
bidzaka,,05,-2.6041667,13.5986111
biessi,,10,1.6205556,14.9483333
biessie,,10,1.6205556,14.9483333
bifousa,,07,-3.7369444,12.5252778
bifoussa,,07,-3.7369444,12.5252778
bihongo,,07,-2.7822222,11.8319444
bihoua,,05,-3.8188889,13.3266667
bikabisende i,,07,-3.7808333,12.1788889
bikabisseme,,07,-3.5166667,12.3166667
bikabissende,,07,-3.7808333,12.1788889
bikabissende i,,07,-3.7808333,12.1788889
bikabissende ii,,07,-3.7861111,12.1733333
bikakala,,07,-3.7472222,12.6230556
bikala,,05,-3.8383333,13.3227778
bikata,,11,-4.2863889,14.1386111
bikeke,,11,-4.6013889,14.5738889
bikie,,05,-3.1152778,13.9261111
bikoka,,01,-4.3858333,13.9402778
bikondolo,,04,-4.9658333,12.0730556
bikonga,,11,-4.5777778,14.7733333
bikongo,,07,-3.3122222,12.5163889
bikouka,,01,-4.0727778,13.9588889
bikoulou,,11,-4.1625,14.3216667
bikoumbi,,01,-4.4305556,13.8258333
bikoumou,,07,-2.7747222,12.3591667
bilala,,04,-4.5108333,12.2272222
bilembe,,03,-0.9333333,17.0719444
biliki,,11,-3.0263889,16.1827778
bilinga,,04,-4.4822222,12.2519444
bilolo,,11,-3.2969444,14.5816667
bilongo,,11,-3.8247222,14.5408333
bilouboudi,,11,-3.4483333,14.5361111
biloungou,,07,-2.6197222,12.1527778
bima monziba,,11,-3.35,15.5333333
bimanakassa,,06,3.3866667,18.5919444
bimba,,04,-3.965,11.7441667
bimba,,07,-3.1,12.7333333
bimbakassa,,04,-4.5858333,11.9452778
bimbe,,03,-0.4794444,15.8636111
bimbo,,06,1.4361111,17.7683333
bimbouloulou,,11,-4.5125,14.5794444
bime,,11,-4.1555556,15.1808333
bimsialoulou,,07,-3.4,12.1333333
bindama,,10,2.0833333,14.0166667
binga,,04,-4.6394444,11.9772222
bingui,,06,2.45,18.0166667
binkota,,11,-3.465,14.425
binnsounga,,11,-4.2975,14.5602778
binnsounsou,,11,-4.8675,14.6097222
binoue,,11,-4.3130556,14.6236111
binsounsou,,11,-4.8675,14.6097222
binzou,,03,-1.1411111,15.9583333
binzou,,10,1.6,16.0833333
bio,,08,-2.4572222,15.7591667
bio,,10,1.7666667,16.6
bioko,,04,-4.0,11.7666667
biokono,,08,-2.4572222,15.7591667
bipoye,,07,-2.0569444,12.7205556
birou,,10,1.4797222,16.1516667
bisai,,01,-4.3727778,13.9361111
bisala,,05,-2.9686111,13.255
bisambi i,,06,2.5227778,18.1705556
bisambi ii,,06,2.5297222,18.1725
bisel,,03,-1.0905556,16.7841667
bisele,,11,-4.7466667,14.6716667
bisinza,,01,-4.4136111,13.8875
bisongo,,04,-4.7813889,11.8897222
bissambi,,06,2.5227778,18.1705556
bissele,,11,-4.7466667,14.6716667
bissengu,,07,-2.5391667,11.7002778
bissengui,,07,-2.5391667,11.7002778
bissindji,,04,-4.0838889,11.9977778
bissindji i,,04,-4.0838889,11.9977778
bissindza,,11,-4.3969444,15.1186111
bissindzi,,04,-4.0838889,11.9977778
bissinja,,11,-4.3969444,15.1186111
bissinnza,,11,-4.2555556,14.6930556
bissongo,,04,-4.7813889,11.8897222
bitala,,11,-4.265,15.0863889
bitanbala,,11,-3.4463889,14.4672222
bitata,,04,-4.0469444,12.0358333
bitatolo,,11,-4.1444444,15.2369444
biteke,,05,-2.6038889,13.6025
bitelomono,,11,-3.8486111,14.8886111
bitobianoka,,11,-4.1947222,14.6358333
bitolo,,07,-3.1511111,13.0511111
bitono,,05,-3.2608333,13.1841667
bitoudila,,07,-4.1213889,12.6619444
bitsala,,05,-2.9686111,13.255
bitsandou,,07,-3.0,12.7833333
bitsika i,,11,-4.5908333,14.56
bitsika ii,,11,-4.5838889,14.5461111
bitsiki,,11,-4.5838889,14.5461111
bitsoumani,,11,-4.1605556,14.6041667
bivenzo,,04,-4.5494444,12.0458333
bivoumbi,,04,-4.3266667,11.6638889
bivoundoulou,,04,-4.0263889,11.7275
biyamba,,07,-2.6097222,12.7136111
bizoua,,01,-4.3527778,13.8625
bli,,08,-1.7369444,14.9872222
boa,,06,1.1072222,17.3247222
boa,,08,-1.3680556,15.1936111
boali,,07,-3.2166667,12.1833333
bobaka,,06,-0.1027778,17.135
bobana,,08,-1.7555556,16.3394444
bobanda,,08,-1.7894444,16.3136111
bobangui,,06,-0.0925,17.7002778
bobele,,06,1.3858333,17.9680556
bobi,,08,-1.6105556,15.9480556
bobo,,06,2.9097222,18.3647222
bobongo,,03,-1.1780556,16.5766667
bobousa,,03,-1.05,16.9155556
bobueta,,03,-0.4202778,16.5416667
boby,,08,-1.6388889,16.5716667
bodjata,,10,0.3513889,16.485
bodouango,,08,-1.7730556,16.4497222
bodouango ii,,08,-1.7502778,16.4536111
bodouango iii,,08,-1.7213889,16.4391667
bodouongo,,08,-1.7730556,16.4497222
bodzata,,10,0.3513889,16.485
bodzeka,,08,-1.7072222,16.4669444
bodzendzo,,06,-0.0713889,17.4244444
boembe,,08,-2.9155556,15.6358333
boganda,,03,-0.6547222,16.3816667
boganda,,06,1.4680556,17.6402778
bogi,,03,-1.5044444,15.0236111
bogo,,03,-0.4230556,15.7475
bogui,,03,-1.5044444,15.0236111
bohoulou,,03,-1.3413889,16.6597222
boilanga,,08,-2.5219444,16.1661111
bokaba,,11,-3.1147222,16.1683333
boka,,03,-0.9713889,15.5386111
boka,,08,-1.3680556,15.1936111
boka,,11,-3.5788889,15.2491667
bokale,,06,1.1825,17.3877778
bokanda,,03,-0.4622222,16.6336111
bokanga,,06,3.3075,18.0741667
bokangue,,03,-0.4697222,15.8430556
bokania,,03,0.0663889,15.25
bokania,,10,1.0377778,15.6783333
bokatola,,06,1.5333333,17.4166667
boketa,,06,1.8069444,18.0119444
boko,,03,-0.3402778,16.0633333
boko,,06,1.1258333,17.02
boko,,11,-4.1455556,14.8805556
bokodzi,,06,1.6166667,17.95
bokokoto,,06,1.45,18.0
bokola,,03,-1.3355556,16.5427778
bokolo,,11,-3.3586111,14.0444444
bokoma,,03,-0.3719444,17.1397222
bokombo,,03,-1.2247222,16.47
bokombo,,06,-0.1969444,17.6419444
bokonko,,03,-1.245,16.4658333
bokoso,,03,-1.1775,16.77
bokoso ii,,03,-1.1491667,16.7186111
bokoso iii,,03,-1.1566667,16.7319444
boko songho,,01,-4.4372222,13.6211111
boko songo,,01,-4.4372222,13.6211111
bokoso three,,03,-1.1566667,16.7319444
bokoso two,,03,-1.1491667,16.7186111
bokouanbolo,,08,-1.6061111,16.4363889
bokouele,,03,-1.0275,16.3155556
boko village,,11,-4.7866667,14.6288889
bokwele,,03,-1.0275,16.3155556
bola,,10,1.7330556,14.6166667
boleke,,06,1.4194444,17.6722222
boleko,,03,-0.8030556,17.2311111
bolembe,,06,1.25,17.9388889
bolembo,,06,1.25,17.9388889
bollembe,,06,1.25,17.9388889
bolo,,11,-4.3222222,14.6877778
bolomo,,06,2.4466667,18.1488889
boloso,,10,2.0152778,15.1458333
bolozo,,10,2.0152778,15.1458333
boma,,01,-4.07,12.8825
bomadanga,,10,1.6327778,14.68
bomadjokou,,03,0.5766667,14.385
boma-essengue,,03,-0.4341667,15.6766667
bomalinga,,10,2.0333333,14.1
bomandjokou,,03,0.5766667,14.385
bomandzokou,,03,0.5766667,14.385
bomassa,,10,2.2,16.1891667
bomasse,,10,2.2,16.1891667
bomassingue,,03,-0.4341667,15.6766667
bombala,,08,-1.6983333,16.4294444
bomboa,,10,1.4447222,16.215
bombo,,06,2.3844444,17.6552778
bombongo,,10,0.25,16.5166667
bomioko,,03,-1.315,16.5172222
bomo,,01,-4.07,12.8825
bomo,,03,0.5577778,14.3919444
bomo i,,01,-4.0236111,12.8147222
bomo ii,,01,-4.0352778,12.8333333
bomoye,,07,-4.1586111,12.6591667
bonanga,,03,0.0013889,16.3619444
bonbe,,03,-1.4372222,16.6094444
bonbokouta,,03,-1.0691667,16.2419444
bonbongo,,10,0.2213889,16.4591667
bondi,,04,-4.5302778,12.0772222
bondjo,,03,0.0594444,15.8816667
bondjodjouala,,03,0.4208333,14.2713889
bondjoumby,,06,3.0202778,17.4519444
bondo,,04,-4.9988889,12.0413889
bondo,,06,3.0761111,18.4883333
